Date,Open,High,Low,Close,Volume,Adj Close
2004-09-16,112.34,115.80,111.65,113.97,4637800,113.97
2004-09-15,110.56,114.23,110.20,112.00,5361900,112.00
2004-09-14,107.45,112.00,106.79,111.49,5419900,111.49
2004-09-13,106.63,108.41,106.46,107.50,3926000,107.50
2004-09-10,101.60,106.56,101.30,105.33,4353800,105.33
2004-09-09,102.53,102.71,101.00,102.31,2032900,102.31
2004-09-08,100.74,103.03,100.50,102.30,2495300,102.30
2004-09-07,101.01,102.00,99.61,101.58,2926700,101.58
2004-09-03,100.95,101.74,99.32,100.01,2578800,100.01
2004-09-02,99.19,102.37,98.94,101.51,7566900,101.51
2004-09-01,102.70,102.97,99.67,100.25,4573700,100.25
2004-08-31,102.30,103.71,102.16,102.37,2461400,102.37
2004-08-30,105.28,105.49,102.01,102.01,2601000,102.01
2004-08-27,108.10,108.62,105.69,106.15,3109000,106.15
2004-08-26,104.95,107.95,104.66,107.91,3551000,107.91
2004-08-25,104.96,108.00,103.88,106.00,4598900,106.00
2004-08-24,111.24,111.60,103.57,104.87,7631300,104.87
2004-08-23,110.75,113.48,109.05,109.40,9137200,109.40
2004-08-20,101.01,109.08,100.50,108.31,11428600,108.31
2004-08-19,100.00,104.06,95.96,100.34,22351900,100.34
